НомерАвто,МаркаАвто,Возмещено,Штрафы
O83697197RUS,Ford Focus,2,6100
7177TT36RUS,Ford Focus,1,1000
O77997197RUS,Ford Focus,1,22400
X242EC197RUS,Volkswagen Golf,1,10600
Y234E877RUS,Ford Focus,1,500
K357YE77RUS,Volkswagen Golf,1,5000
97987H178RUS,Ford Focus,2,5000
X257HE161RUS,Ford Focus,2,10000
T479KX197RUS,Ford Focus,1,12000
T399KX197RUS,Ford Focus,2,10200
H957HY161RUS,Ford Focus,1,2000
K379HY161RUS,Volkswagen Golf,1,200
T654HT96RUS,Toyota Corolla,1,4000
E41977152RUS,Ford Focus,2,2400
8439XX154RUS,Ford Focus,2,4600
7194TT36RUS,Ford Focus,1,2300
Y965EE197RUS,Ford Focus,2,9600
"X758HY197RUS,Ford Focus,"""",24200"
9464EX178RUS,Ford Focus,1,2100
M0279X197RUS,Ford Focus,2,180000
H224X836RUS,Ford Focus,1,3500
E6849O154RUS,Volkswagen Golf,1,200
Y273O8197RUS,Ford Focus,2,26300
"96907X197RUS,BMW,"""",3000"
O83797197RUS,Ford Focus,2,75900
"9402KK197RUS,Toyota Camry,"""",14400"
7368C8197RUS,Ford Focus,1,4400
Y194O8161RUS,Ford Focus,1,900
H427YH197RUS,Volkswagen Passat,2,29700
9583EY178RUS,Ford Focus,2,4300
K376HE161RUS,Ford Focus,1,100
Y038E877RUS,Ford Focus,2,6500
9822H8161RUS,Ford Focus,1,100
7826C8197RUS,Ford Focus,2,3600
9467EX178RUS,Ford Focus,2,3700
"K846YE77RUS,Volkswagen Passat,"""",2000"
E160YX77RUS,Ford Focus,2,2200
82337X197RUS,Ford Focus,2,2100
X757HY197RUS,Ford Focus,2,6800
X765HY197RUS,Ford Focus,2,13900
934497178RUS,Skoda Octavia,2,1900
T195OK161RUS,Ford Mondeo,2,6700
E41977152RUS,Ford Focus,1,2400
K2807K154RUS,Ford Focus,1,1000
T8008Y125RUS,Ford Focus,2,1000
9463EX178RUS,Ford Focus,2,1400
X765HY197RUS,Ford Focus,2,27800
Y960EE197RUS,Skoda Octavia,1,9000
7840C8197RUS,Ford Focus,2,7000
K846YE77RUS,Volkswagen Passat,2,2000
E40577152RUS,Ford Focus,1,500
7827C8197RUS,Ford Focus,1,7500
T394KX197RUS,Ford Focus,1,1500
Y655E8750RUS,Skoda Octavia,2,5200
H003MH197RUS,Ford Focus,2,2900
705787163RUS,Ford Focus,1,100
Y7699C197RUS,Ford Focus,2,15800
Y6829Y50RUS,Ford Focus,1,500
Y358O8197RUS,Ford Focus,2,21800
Y8399C197RUS,Ford Focus,2,1800
9135X938RUS,Ford Focus,2,4400
T654HT96RUS,Toyota Corolla,2,2000
H385TM197RUS,Volkswagen Passat,1,9500
M0299X197RUS,Ford Focus,2,9600
9428EX178RUS,Ford Focus,1,1000
H837YK197RUS,Audi,2,4200
O83597197RUS,Ford Focus,2,4000
E42577152RUS,Ford Focus,2,3700
E53277152RUS,Ford Focus,1,1000
98017H178RUS,Ford Focus,1,1500
K329T8197RUS,Skoda Octavia,2,13000
C476M7161RUS,Ford Focus,2,1500
9943KK197RUS,Ford Focus,2,29700
9679EC178RUS,Ford Focus,2,500
8165XX154RUS,Ford Focus,1,4900
T476KX197RUS,Ford Focus,1,1500
X242EC197RUS,Volkswagen Golf,2,10600
C422X938RUS,Ford Focus,2,10500
K328T8197RUS,Volkswagen Golf,1,300
9466EX178RUS,Ford Focus,2,800
X256HE161RUS,Ford Focus,1,2400
Y275O8197RUS,Ford Focus,1,3000
H218X836RUS,Ford Focus,2,17500
X255HE161RUS,Ford Focus,1,400
7370C8197RUS,Ford Focus,2,5000
M373CH197RUS,Ford Focus,2,6600
O02397197RUS,Volkswagen Jetta,1,4000
8165XX154RUS,Ford Focus,2,4200
E432XX77RUS,Toyota Camry,2,13000
7830C8197RUS,Ford Focus,2,10200
H217X836RUS,Ford Focus,1,2000
Y316E877RUS,Ford Focus,2,7000
934497178RUS,Skoda Octavia,1,3800
O77997197RUS,Ford Focus,2,5600
8601XX154RUS,Skoda Octavia,1,1300
M375CH197RUS,Ford Focus,2,18100
Y4298M777RUS,Skoda Octavia,1,2000
C420X938RUS,Ford Focus,1,3300
O22297197RUS,Ford Focus,1,500
M741T9152RUS,Ford Focus,2,1000
9883HX152RUS,Ford Focus,2,1000
Y6829Y50RUS,Ford Focus,1,500
H004MH197RUS,Ford Focus,1,39600
E53677152RUS,Ford Focus,2,5500
704987163RUS,Ford Focus,2,1800
E160YX77RUS,Ford Focus,2,1100
E316EH197RUS,Volkswagen,1,1300
X758HY197RUS,Ford Focus,2,72600
T6419O50RUS,Ford Focus,2,9000
O22297197RUS,Ford Focus,1,500
O02597197RUS,Ford Focus,1,800
H963HY161RUS,Ford Focus,1,1400
X015HY197RUS,Toyota Corolla,2,16000
M6977E152RUS,Ford Focus,2,500
96907X197RUS,BMW,1,3000
X761HY197RUS,Ford Focus,2,18300
9938OH154RUS,Skoda Octavia,1,500
T769OT197RUS,Volkswagen Golf,2,30900
Y778EE197RUS,Volkswagen Golf,1,24000
7829C8197RUS,Ford Focus,2,1800
T6488M116RUS,Ford Focus,2,21000
T272HH163RUS,Ford Focus,1,1000
T018OX197RUS,Toyota Corolla,2,3400
Y255E877RUS,Ford Focus,1,2500
9182CE154RUS,Ford Focus,2,13200
O753MX161RUS,Ford Focus,1,700
9697MO178RUS,Volkswagen Golf,1,1000
C477M7161RUS,Ford Focus,2,5000
T686EO197RUS,Toyota Camry,1,500
O017KO197RUS,Ford Focus,2,1600
C590EY154RUS,Ford Focus,2,3500
T941CC96RUS,Ford Focus,1,2000
O22397197RUS,Ford Focus,2,55500
X242EC197RUS,Volkswagen Golf,2,10600
T020OX197RUS,Toyota Corolla,1,34300
E33577152RUS,Ford Focus,2,2000
7197TT36RUS,Ford Focus,2,6800
Y973O8197RUS,Ford Focus,1,34800
E773EH197RUS,Ford Focus,2,6800
T6428M116RUS,Ford Focus,2,6000
Y7129Y50RUS,Ford Focus,2,32000
Y418EX197RUS,Volkswagen Passat,2,900
Y7689C197RUS,Ford Focus,1,27000
7066C8197RUS,Volkswagen Passat,1,3000
X796TH96RUS,Ford Focus,1,500
E52877152RUS,Ford Focus,1,1500
7369C8197RUS,Ford Focus,2,20200
9409H7178RUS,Skoda Octavia,2,3000
Y166O8161RUS,Ford Focus,1,100
705287163RUS,Ford Focus,2,2000
K559KC161RUS,Ford Focus,1,100
M0299X197RUS,Ford Focus,2,67200
8164XX154RUS,Ford Focus,2,4400
92928M178RUS,Ford Focus,1,600
9822H8161RUS,Ford Focus,1,200
8603T8154RUS,Ford Focus,1,3000
84418C154RUS,Ford Focus,1,3000
Y965O8197RUS,Ford Focus,1,1600
E53488152RUS,Ford Focus,2,1800
9697MO178RUS,Volkswagen Golf,1,500
M256OH161RUS,Ford Focus,2,1600
Y7709C197RUS,Ford Focus,1,1500
E53277152RUS,Ford Focus,1,500
8201XX154RUS,Ford Focus,1,2600
90159H178RUS,Volkswagen Passat,2,600
C798ET50RUS,Ford Focus,1,10000
Y193O8161RUS,Ford Focus,2,600
7248C8197RUS,Ford Mondeo,2,8600
Y275O8197RUS,Ford Focus,1,6000
K357YE77RUS,Volkswagen Golf,1,5000
9697MO178RUS,Volkswagen Golf,1,500
Y187O8161RUS,Ford Focus,1,400
E0697X152RUS,Skoda Octavia,1,2000
M373CH197RUS,Ford Focus,2,6600
H982HY161RUS,Ford Focus,1,300
8610T8154RUS,Ford Focus,1,2000
E40877152RUS,Ford Focus,1,1000
K899T8197RUS,Ford Focus,1,15400
O83697197RUS,Ford Focus,1,6100
Y351O8197RUS,Ford Focus,1,1500
9941KK197RUS,Ford Focus,1,800
Y356O8197RUS,Ford Focus,2,45900
T914CT197RUS,Toyota Camry,2,7200
O6939X163RUS,Ford Focus,1,7200
Y7649C197RUS,Ford Focus,2,5300
M374CH197RUS,Ford Focus,2,5500
9935TE152RUS,Ford Focus,2,2500
704687163RUS,Ford Focus,2,1400
X523OM161RUS,Ford Focus,1,400
T6559O50RUS,Ford Focus,2,4000
7197TT36RUS,Ford Focus,2,6800
X765HY197RUS,Ford Focus,2,41700
96857X197RUS,Skoda Octavia,2,18900
M581CH197RUS,Ford Focus,1,100
H963HY161RUS,Ford Focus,1,1400
M302CH161RUS,Ford Focus,1,500
H115YO163RUS,Ford Focus,1,1100
9679EC178RUS,Ford Focus,1,500
O143HO197RUS,Toyota Corolla,2,30300
K436MO152RUS,Ford Focus,1,1500
9938OH154RUS,Skoda Octavia,1,500
E34877152RUS,Ford Focus,2,6100
E5878M777RUS,Skoda Octavia,1,8500
E33577152RUS,Ford Focus,1,1000
7147OE161RUS,Ford Focus,1,500
7844C8197RUS,Ford Focus,2,34000
"X256HE161RUS,Ford Focus,"""",800"
X257HE161RUS,Ford Focus,2,5000
C584EY154RUS,Ford Focus,1,500
C584EY154RUS,Ford Focus,1,500
H214X836RUS,Ford Focus,2,8000
Y4298M777RUS,Skoda Octavia,1,2000
E28977161RUS,Ford Focus,2,1500
H908YK197RUS,Ford Focus,1,4800
T016OX197RUS,Toyota Corolla,2,3200
8166XX154RUS,Ford Focus,1,600
"H889YK197RUS,Ford Focus,"""",10600"
7363C8197RUS,Ford Focus,2,1600
Y357O8197RUS,Ford Focus,2,2200
T6039O50RUS,Ford Focus,2,1500
7365C8197RUS,Ford Focus,1,2300
Y967O8197RUS,Ford Focus,1,4000
E816HE77RUS,Ford Focus,1,3000
T6329O50RUS,Ford Focus,1,500
X504X8197RUS,Skoda Octavia,1,12600
M581CH197RUS,Ford Focus,1,200
M374CH197RUS,Ford Focus,2,5500
X523OM161RUS,Ford Focus,2,800
9470EX178RUS,Ford Focus,1,500
C412X938RUS,Ford Focus,1,1000
7831C8197RUS,Ford Focus,2,3400
8164XX154RUS,Ford Focus,2,4400
H004MH197RUS,Ford Focus,2,9900
X015HY197RUS,Toyota Corolla,2,24000
Y652O8197RUS,Volkswagen Touareg,2,5800
E53477152RUS,Ford Focus,2,7200
T6419O50RUS,Ford Focus,2,9000
E822TH36RUS,Ford Focus,2,12900
8437XX154RUS,Ford Focus,1,1600
E445TC197RUS,Ford Focus,1,3400
C515X938RUS,Ford Focus,1,1900
7172TT36RUS,Ford Focus,2,5700
8436XX154RUS,Ford Focus,1,800
E79988152RUS,Ford Focus,1,500
8180XX154RUS,Ford Focus,1,2800
9499KX178RUS,Ford Focus,2,2300
84438C154RUS,Ford Focus,2,3800
T6309O50RUS,Ford Focus,2,24000
9594HY161RUS,Ford Focus,1,300
T6129O50RUS,Ford Focus,2,6000
K339T8197RUS,Ford Focus,2,19200
8685HE154RUS,Ford Focus,1,2000
72457Y96RUS,Ford Focus,2,900
Y7449Y50RUS,Ford Focus,2,8000
K899T8197RUS,Ford Focus,2,15400
O017KO197RUS,Ford Focus,2,800
X782CO96RUS,Ford Focus,1,1000
E591HE77RUS,Ford Focus,2,6000
89587X197RUS,Toyota Camry,1,4400
Y7659C197RUS,Ford Focus,1,1500
9499KX178RUS,Ford Focus,1,2300
M581CH197RUS,Ford Focus,1,100
"8818C877RUS,Volkswagen Passat,"""",5000"
8437XX154RUS,Ford Focus,1,800
Y357O8197RUS,Ford Focus,1,2200
"Y652O8197RUS,Volkswagen Touareg,"""",5800"
X760HY197RUS,Ford Focus,2,10100
O058M7161RUS,Ford Focus,2,1900
X767HY197RUS,Ford Focus,2,18000
H220X836RUS,Ford Focus,1,7000
92788M178RUS,Ford Focus,1,1200
H218X836RUS,Ford Focus,2,17500
T913CT197RUS,Toyota Camry,1,7900
T6439O50RUS,Ford Focus,2,16500
7784KT197RUS,Ford Focus,2,13200
X286TC36RUS,Ford Focus,2,500
O752MX161RUS,Ford Focus,1,1300
9137X938RUS,Ford Focus,2,1600
Y7719C197RUS,Ford Focus,2,4600
Y7449Y50RUS,Ford Focus,1,8000
H115YO163RUS,Ford Focus,2,1100
8818C877RUS,Volkswagen Passat,2,10000
7064C8197RUS,Volkswagen Passat,2,12800
92828M178RUS,Ford Focus,1,300
Y650E8750RUS,Skoda Octavia,1,500
X782CO96RUS,Ford Focus,1,1000
X767HY197RUS,Ford Focus,2,36000
9498KX178RUS,Ford Focus,2,800
83298C154RUS,Ford Focus,1,100
8321XX154RUS,Ford Focus,1,100
8316XX154RUS,Ford Focus,1,2200
T017OX197RUS,Toyota Corolla,2,12700
H977HY161RUS,Ford Focus,1,600
7788KT197RUS,Ford Focus,2,8000
X522OM161RUS,Ford Focus,1,1500
Y8399C197RUS,Ford Focus,1,600
O085E8197RUS,Volkswagen Golf,1,300
8166XX154RUS,Ford Focus,1,600
705387163RUS,Ford Focus,2,700
O017KO197RUS,Ford Focus,1,800
X4138H125RUS,Ford Focus,1,300
8441XX154RUS,Ford Focus,1,500
M0269X197RUS,Ford Focus,2,10300
7781KT197RUS,Ford Focus,1,1200
9683EC178RUS,Ford Focus,1,6500
T483CT96RUS,Ford Focus,1,500
T940CC96RUS,Ford Focus,2,1500
C58078163RUS,Ford Focus,1,100
O02397197RUS,Volkswagen Jetta,1,4000
T018OX197RUS,Toyota Corolla,2,6800
H963HY161RUS,Ford Focus,1,1400
8611T8154RUS,Ford Focus,2,2000
C583EY154RUS,Ford Focus,1,1000
9942KK197RUS,Ford Focus,1,3100
83218C154RUS,Ford Focus,1,100
704787163RUS,Ford Focus,2,2800
E53488152RUS,Ford Focus,2,3600
Y7129Y50RUS,Ford Focus,1,16000
C313MM99RUS,Toyota Camry,1,7500
8611T8154RUS,Ford Focus,1,1000
X763HY197RUS,Ford Focus,2,9500
M386M9197RUS,Volkswagen Golf,2,5800
8605T8154RUS,Ford Focus,1,1000
O22297197RUS,Ford Focus,1,500
7147OE161RUS,Ford Focus,1,500
O134HE197RUS,Ford Focus,2,7600
96429X178RUS,Ford Focus,1,1300
Y7379Y50RUS,Ford Focus,2,2000
K326T8197RUS,Volkswagen Passat,1,100
H982HY161RUS,Ford Focus,1,300
Y344E877RUS,Ford Focus,1,1000
7361C8197RUS,Ford Focus,1,1600
Y359EY197RUS,Skoda Octavia,2,3000
T6559O50RUS,Ford Focus,1,4000
X759HY197RUS,Ford Focus,2,12500
E53277152RUS,Ford Focus,1,500
X015HY197RUS,Toyota Corolla,1,8000
E552MO152RUS,Ford Focus,1,500
9469EX178RUS,Ford Focus,2,2100
Y6839Y50RUS,Ford Focus,2,3000
H237YH197RUS,Ford Focus,1,600
T948OM96RUS,Ford Focus,1,2000
T395KX197RUS,Ford Focus,2,15200
M301CH161RUS,Ford Focus,1,8000
M581CH197RUS,Ford Focus,1,100
E79988152RUS,Ford Focus,1,1500
9496KX178RUS,Ford Focus,1,500
9488EY178RUS,Ford Focus,1,1300
T6319O50RUS,Ford Focus,2,6500
H305T8197RUS,Ford Focus,1,28100
8201XX154RUS,Ford Focus,2,2600
O64297197RUS,Ford Focus,1,300
9523M8178RUS,Skoda Octavia,1,600
Y273O8197RUS,Ford Focus,2,52600
T6229O50RUS,Ford Focus,2,2500
9943KK197RUS,Ford Focus,2,19800
X023HY197RUS,Volvo,2,10200
8226XX154RUS,Ford Focus,2,1000
Y038TO197RUS,Toyota Corolla,1,7600
M0289X197RUS,Ford Focus,2,40600
E811HE77RUS,Ford Focus,2,7000
O785T9163RUS,Ford Focus,1,500
X795O796RUS,Ford Focus,1,2000
O39997197RUS,Ford Focus,1,9000
97968K152RUS,Ford Focus,2,500
K339T8197RUS,Ford Focus,2,57600
9943OH154RUS,Skoda Octavia,1,400
H219X836RUS,Ford Focus,1,1600
X782CO96RUS,Ford Focus,1,1000
T6169O50RUS,Ford Focus,1,500
Y352O8197RUS,Ford Focus,2,25900
Y8399C197RUS,Ford Focus,1,600
T940CC96RUS,Ford Focus,1,500
94178K154RUS,Ford Focus,1,500
7365C8197RUS,Ford Focus,2,6900
9467EX178RUS,Ford Focus,2,3700
O78097197RUS,Ford Focus,2,1400
X5707X161RUS,Volkswagen Passat,2,500
Y232E877RUS,Ford Focus,2,5000
Y388E877RUS,Ford Focus,2,19000
X255HE161RUS,Ford Focus,1,400
E552MO152RUS,Ford Focus,1,500
97998K152RUS,Ford Focus,2,6300
Y963O8197RUS,Ford Focus,2,21600
Y778EE197RUS,Volkswagen Golf,2,168000
T654HT96RUS,Toyota Corolla,2,2000
T477KX197RUS,Ford Focus,2,94000
T2639T116RUS,Ford Focus,1,3000
O49797197RUS,Ford Focus,2,5300
708187163RUS,Ford Focus,2,1000
O83597197RUS,Ford Focus,2,8000
8601XX154RUS,Skoda Octavia,2,3900
H387TM197RUS,Volkswagen Passat,2,3200
O68897197RUS,Ford Focus,1,8200
72457Y96RUS,Ford Focus,1,900
7064C8197RUS,Volkswagen Passat,1,12800
E948C8152RUS,Ford Focus,2,6000
"7248C8197RUS,Ford Mondeo,"""",34400"
C514X938RUS,Ford Focus,2,2700
C589EY154RUS,Ford Focus,1,4500
C420X938RUS,Ford Focus,1,3300
K899T8197RUS,Ford Focus,2,15400
T6418M116RUS,Ford Focus,2,24600
8607XX154RUS,Skoda Octavia,2,2400
92778M178RUS,Ford Focus,2,3000
C476M7161RUS,Ford Focus,2,500
T288CT96RUS,Ford Focus,1,4500
9679EC178RUS,Ford Focus,1,500
9886HX152RUS,Ford Focus,2,2900
C583EY154RUS,Ford Focus,1,1000
7788KT197RUS,Ford Focus,1,20000
T016OX197RUS,Toyota Corolla,2,9600
T6419O50RUS,Ford Focus,2,27000
C592EY154RUS,Ford Focus,1,1000
T6459O50RUS,Ford Focus,1,2000
Y356O8197RUS,Ford Focus,2,30600
X759HY197RUS,Ford Focus,2,12500
705787163RUS,Ford Focus,1,100
96429X178RUS,Ford Focus,2,1300
Y973O8197RUS,Ford Focus,1,69600
92898M178RUS,Ford Focus,1,1600
"X023HY197RUS,Volvo,"""",6800"
9671EC178RUS,Ford Focus,1,600
M302CH161RUS,Ford Focus,1,500
X023HY197RUS,Volvo,2,6800
M578CH197RUS,Ford Focus,2,9000
O77997197RUS,Ford Focus,2,5600
7368C8197RUS,Ford Focus,2,8800
9683EC178RUS,Ford Focus,2,6500
Y207O8161RUS,Ford Focus,1,500
96659X178RUS,Ford Focus,1,2700
T912CT197RUS,Toyota Camry,2,19800
M256OH161RUS,Ford Focus,1,1600
7183TT36RUS,Ford Focus,2,16200
89557X197RUS,Toyota Camry,2,22400
E773EH197RUS,Ford Focus,2,6800
Y359O8197RUS,Ford Focus,1,2000
K2817K154RUS,Ford Focus,1,4500
O017KO197RUS,Ford Focus,1,1600
E396MO152RUS,Ford Focus,2,3000
X758HY197RUS,Ford Focus,2,145200
X795O796RUS,Ford Focus,1,1000
Y964O8197RUS,Ford Focus,1,1000
H967HY161RUS,Ford Focus,2,4500
E394MO152RUS,Ford Focus,2,10500
O50699163RUS,Ford Focus,1,1100
9463EX178RUS,Ford Focus,1,1400
E53677152RUS,Ford Focus,2,5500
E33177152RUS,Ford Focus,2,7100
K338T8197RUS,Ford Focus,2,17400
O22097197RUS,Ford Focus,2,24300
Y4298M777RUS,Skoda Octavia,2,2000
Y687HM197RUS,BMW,1,600
8311XX154RUS,Ford Focus,2,4300
98037H178RUS,Ford Focus,2,2500
7828C8197RUS,Ford Focus,2,6700
H980HY161RUS,Ford Focus,2,1800
Y305E877RUS,Ford Focus,1,2500
8521XX154RUS,Ford Focus,2,1000
H906YK197RUS,Ford Focus,1,12000
7199MT197RUS,Volkswagen Golf,1,9300
X908XC197RUS,Volkswagen Jetta,2,46000
T171CC96RUS,Ford Focus,2,2000
X4108H125RUS,Ford Focus,2,1300
Y966O8197RUS,Ford Focus,2,10400
K2797K154RUS,Ford Focus,2,2400
X286TC36RUS,Ford Focus,1,500
7089H8163RUS,Toyota Corolla,2,4400
9883HX152RUS,Ford Focus,1,500
7841C8197RUS,Ford Focus,1,12000
9940KK197RUS,Ford Focus,1,1600
H224X836RUS,Ford Focus,2,7000
9028CO161RUS,Ford Focus,2,1500
H971HY161RUS,Ford Focus,2,7400
8610T8154RUS,Ford Focus,1,2000
M0269X197RUS,Ford Focus,2,20600
E316EH197RUS,Volkswagen Touareg,1,1300
T6359O50RUS,Ford Focus,2,13500
X257HE161RUS,Ford Focus,1,5000
H844YH197RUS,Ford Focus,2,3000
9523M8178RUS,Skoda Octavia,2,300
Y195O8161RUS,Ford Focus,2,100
9137X938RUS,Ford Focus,1,1600
E33477152RUS,Ford Focus,1,500
Y156E877RUS,Ford Focus,2,7500
E396MO152RUS,Ford Focus,2,3000
9939KK197RUS,Ford Focus,1,1600
E0697X152RUS,Skoda Octavia,2,2000
H908YK197RUS,Ford Focus,2,4800
Y969O8197RUS,Ford Focus,1,15600
9028CO161RUS,Ford Focus,1,1500
9502XX38RUS,Skoda Octavia,1,3000
7840C8197RUS,Ford Focus,2,3500
T6249O50RUS,Ford Focus,2,8500
E53677152RUS,Ford Focus,2,11000
E42377152RUS,Ford Focus,2,3000
X256HE161RUS,Ford Focus,2,1600
9941KK197RUS,Ford Focus,1,800
E28877161RUS,Ford Focus,1,500
M0299X197RUS,Ford Focus,2,19200
M372CH197RUS,Ford Focus,1,21600
K040CC197RUS,Ford Focus,2,3600
E41577152RUS,Ford Focus,2,3000
9763HY161RUS,Ford Focus,1,900
T535ET96RUS,Ford Focus,2,3000
92918M178RUS,Ford Focus,2,7600
Y655E8750RUS,Skoda Octavia,1,2600
K2797K154RUS,Ford Focus,1,2400
K559KC161RUS,Ford Focus,1,200
7369C8197RUS,Ford Focus,2,10100
T6359O50RUS,Ford Focus,2,13500
8321XX154RUS,Ford Focus,1,200
O134HE197RUS,Ford Focus,2,11400
H961HY161RUS,Ford Focus,2,2500
M2169X197RUS,Ford Focus,2,3100
707987163RUS,Ford Focus,1,1100
8234XX154RUS,Ford Focus,1,1300
9938KK197RUS,Ford Focus,1,28500
X759HY197RUS,Ford Focus,1,37500
M375CH197RUS,Ford Focus,1,18100
C803KE163RUS,Volkswagen Jetta,1,1000
O83697197RUS,Ford Focus,2,6100
92918M178RUS,Ford Focus,1,1900
92928M178RUS,Ford Focus,1,1200
E52677152RUS,Ford Focus,2,2500
8451M7154RUS,Ford Focus,1,500
9589EY178RUS,Ford Focus,1,500
H907YK197RUS,Ford Focus,2,7100
O39897197RUS,Ford Focus,2,3800
"M3879X197RUS,Volkswagen Touareg,"""",6300"
H618YC38RUS,Volkswagen Golf,1,300
C299K9154RUS,Ford Focus,1,500
M0299X197RUS,Ford Focus,1,9600
8437XX154RUS,Ford Focus,2,800
9468EX178RUS,Ford Focus,1,4000
